"reference_date","lag","report_date","W1_issue","log_value_7dav","log_value_7dav_lag7","log_value_7dav_lag14","log_delta_value_7dav_lag7","log_delta_value_7dav_lag14","sqrty0","sqrty1","sqrty2","log_value_target_7dav","predicted_tau0.01","predicted_tau0.025","predicted_tau0.1","predicted_tau0.25","predicted_tau0.5","predicted_tau0.75","predicted_tau0.9","predicted_tau0.975","predicted_tau0.99","wis","gamma","lambda","test_date","time_for_preprocessing","time_for_running"
1991-12-23,0,1991-12-23,0,2.30258509299405,3.93182563272433,4.91998092582813,2.32238772029023,2.72275634849191,0,0,0,4.34380542185368,4.60029602347515,4.60029602347515,4.46950981323185,4.53156019267799,4.70542360127984,4.78978269696538,4.92878003742671,5.2507955199972,5.26885948682863,0.253484494599201,0.1,0.1,1991-12-23,0.294742822647095,0.807045936584473
1991-12-16,7,1991-12-23,0,3.93182563272433,4.91998092582813,5.34233425196481,2.72275634849191,1.97503842197834,0,0,1,4.47733681447821,4.26104009454083,4.25703602720001,4.53724944040564,4.61884853456868,4.74420172609188,4.76512058592475,4.80117745837963,4.7897842900176,4.7897842900176,0.0925386144414154,0.1,0.1,1991-12-23,0.294742822647095,0.807045936584473
1991-12-09,14,1991-12-23,0,4.91998092582813,5.34233425196481,5.18178355029209,1.97503842197834,4.08317126162398,0,0,0,5.05624580534831,5.06016475856738,5.06016475856738,5.04862890432917,5.09374263568186,5.12044879069481,5.14047721962544,5.0417520043602,5.11930884267257,5.07078295997974,0.0232246156752906,0.1,0.1,1991-12-23,0.294742822647095,0.807045936584473
1991-12-02,21,1991-12-23,0,5.34233425196481,5.18178355029209,5.0998664278242,4.08317126162398,2.70197115502583,0,0,0,5.37063802812766,5.34233425196481,5.35108505536658,5.38920870618818,5.42004052298342,5.40563116832567,5.37606122450564,5.4667654597404,5.49816076877927,5.49373141104584,0.019426990706041,0.1,0.1,1991-12-23,0.294742822647095,0.807045936584473
1991-11-25,28,1991-12-23,0,5.18178355029209,5.0998664278242,5.18178355029209,2.70197115502583,2.00372971994414,0,0,0,5.20948615284142,5.18178355029209,5.18178355029208,5.18178355029209,5.20676817386921,5.21734344496303,5.20524109021583,5.20017196759217,5.22841615735159,5.22841615735159,0.0045726902220874,0.1,0.1,1991-12-23,0.294742822647095,0.807045936584473
1991-11-18,35,1991-12-23,0,5.0998664278242,5.18178355029209,5.19295685089021,2.00372971994414,2.24851787172377,0,0,0,5.10594547390058,5.0998664278242,5.0998664278242,5.0998664278242,5.0998664278242,5.1259392351682,5.11371800255331,5.11455391811291,5.13463569641942,5.14342956497687,0.00360741920697025,0.1,0.1,1991-12-23,0.294742822647095,0.807045936584473
1991-11-11,42,1991-12-23,0,5.18178355029209,5.19295685089021,5.04342511691925,2.24851787172377,2.09898613775281,0,0,0,5.18178355029209,5.18178355029209,5.18178355029209,5.18178355029209,5.18178355029209,5.19281847565293,5.18986183304791,5.18457994929789,5.1883171615948,5.18832636747592,0.00178787593874787,0.1,0.1,1991-12-23,0.294742822647095,0.807045936584473
1991-11-04,49,1991-12-23,0,5.19295685089021,5.04342511691925,5.19295685089021,2.09898613775281,2.19722457733622,0,0,0,5.21493575760899,5.19295685089021,5.19295685089021,5.19295685089021,5.19295685089021,5.19295685089021,5.20361857055167,5.19142355230869,5.18076922790288,5.17230871378754,0.0276918549680135,0.1,0.1,1991-12-23,0.294742822647095,0.807045936584473
1991-10-28,56,1991-12-23,0,5.04342511691925,5.19295685089021,5.21493575760899,2.19722457733622,2.73002910782099,0,0,0,5.04342511691925,5.04342511691925,5.04342511691925,5.04342511691924,5.04342511691925,5.04342511691925,5.04342511691925,5.05278619487252,5.05164243225429,5.05151255789079,0.000271647797427363,0.1,0.1,1991-12-23,0.294742822647095,0.807045936584473
1991-10-21,63,1991-12-23,0,5.19295685089021,5.21493575760899,5.07517381523383,2.73002910782099,2.51022445777229,0,0,0,5.19295685089021,5.19295685089021,5.19295685089021,5.19295685089021,5.19295685089021,5.19295685089021,5.19295685089021,5.19895874253224,5.19502026378276,5.19271972169414,0.000197007197915856,0.1,0.1,1991-12-23,0.294742822647095,0.807045936584473
