Mon_issue,Weekends_issue,Mon_ref,Weekends_ref,W1_issue,log_value_7dav,log_value_7dav_lag1,log_value_7dav_lag7,log_delta_7dav_lag1,log_delta_7dav_lag7,log_value_target,day_diff,value_slope_diff,value_7dav_diff,reference_date,lag,report_date,predicted_tau0.01,predicted_tau0.025,predicted_tau0.1,predicted_tau0.25,predicted_tau0.5,predicted_tau0.75,predicted_tau0.9,predicted_tau0.975,predicted_tau0.99,geo_value,wis,elapsed_time,time_for_preprocessing,time_for_running
0,0,0,0,1,7.37103995797913,7.54402971917929,7.50328963067508,7.54402971917929,7.50328963067508,7.62126515406097,0,0,0,2021-03-31,1,2021-04-01,7.5707533534612,7.5707533534612,7.5804740990552,7.59706215923348,7.63741693296272,7.65430795708063,8.55524193002923,8.61823059942407,8.66527972636784,ma,0.034888070419601,0.493556022644043,5.60082411766052,0.895955801010132
0,0,0,0,1,7.54402971917929,7.58731050602262,7.46924685754219,7.58731050602262,7.46924685754219,7.61740834201531,0,0,0,2021-03-30,2,2021-04-01,7.60209990646623,7.60626601144626,7.61832804579311,7.63794142298712,7.63783258899767,7.65382077748273,15.6636347447298,8.5928776552409,8.63268455513831,ma,0.194474789853323,0.135432958602905,5.60082411766052,0.895955801010132
0,0,1,0,1,7.58731050602262,7.58310211205939,7.44366368311559,7.58310211205939,7.44366368311559,7.60396918091287,0,0,0,2021-03-29,3,2021-04-01,7.6054953211244,7.6054953211244,7.60735529031235,7.61322408270469,7.62050367371992,7.63056253183474,15.664350911679,8.6382726847188,8.61575033891784,ma,0.19331482148997,0.118414878845215,5.60082411766052,0.895955801010132
0,0,0,1,1,7.58310211205939,7.57821854245713,7.41293643122009,7.57821854245713,7.41293643122009,7.58832367733522,0,0,0,2021-03-28,4,2021-04-01,7.58223905021471,7.58515482892163,7.5871348077304,7.59077926247175,7.59634065728631,7.60430614386101,15.6237021029724,8.61528135120563,8.63044379034878,ma,0.188830607876008,0.109787940979004,5.60082411766052,0.895955801010132
0,0,0,1,1,7.57821854245713,7.56638495465937,7.39387829010776,7.56638495465937,7.39387829010776,7.58266574841611,0,0,0,2021-03-27,5,2021-04-01,7.57750700801614,7.57750700801614,7.58187785891035,7.58273738534661,7.58504897383537,7.58784887194407,15.6066610525692,8.67154253320616,8.68567388161222,ma,0.18743377722691,0.109474897384644,5.60082411766052,0.895955801010132
0,0,0,0,1,7.56638495465937,7.53834293128665,7.37936476101297,7.53834293128665,7.37936476101297,7.57066414076718,0,0,0,2021-03-26,6,2021-04-01,7.56461279512953,7.56496854439694,7.56831451121612,7.56888624560715,7.57015375279931,7.57209875939466,15.6866622328726,15.9190483405661,15.9187918832776,ma,0.245619306751594,0.113401889801025,5.60082411766052,0.895955801010132
0,0,0,0,1,7.53834293128665,7.50328963067508,7.35170823102793,7.50328963067508,7.35170823102793,7.54122827877057,0,0,0,2021-03-25,7,2021-04-01,7.53618750310958,7.53618750310959,7.53882339396272,7.53986533294451,7.54073981214276,7.5413252726081,15.6549477930509,15.8680611253288,8.99178443784126,ma,0.230016548453649,0.109216928482056,5.60082411766052,0.895955801010132
0,0,0,0,1,7.50328963067508,7.46924685754219,7.32213293304916,7.46924685754219,7.32213293304916,7.5050206878388,0,0,0,2021-03-24,8,2021-04-01,7.50127133652385,7.50127133652385,7.50329362988929,7.50385616570493,7.50468837394298,7.50521838125337,7.5070078521053,15.8962871219356,15.882797676948,ma,0.0654597313547017,0.105704069137573,5.60082411766052,0.895955801010132
0,0,0,0,1,7.46924685754219,7.44366368311559,7.29087739293572,7.44366368311559,7.29087739293572,7.47120046011713,0,0,0,2021-03-23,9,2021-04-01,7.46695918771937,7.4668985454468,7.4688325844012,7.46924685754219,7.47015085149445,7.47053344754756,7.47184043634854,15.8523263908459,8.8877457225123,ma,0.0501461802355328,0.0996410846710205,5.60082411766052,0.895955801010132
0,0,1,0,1,7.44366368311559,7.41293643122009,7.26852184082412,7.41293643122009,7.26852184082412,7.44583469265234,0,0,0,2021-03-22,10,2021-04-01,7.44203982688462,7.44213502721082,7.44323666047648,7.44370518084136,7.44406911423656,7.44471342310775,7.44526007122541,15.8403369341417,8.64083235027502,ma,0.0499946788284615,0.100879192352295,5.60082411766052,0.895955801010132
0,0,0,1,1,7.41293643122009,7.39387829010776,7.24504350912068,7.39387829010776,7.24504350912068,7.41310881529223,0,0,0,2021-03-21,11,2021-04-01,7.41153064125405,7.41153064125406,7.41247765235572,7.41279965053844,7.41312308255925,7.41345628161585,7.4139805514049,7.46879326547614,7.4690568995627,ma,0.000517424332538,0.103464126586914,5.60082411766052,0.895955801010132
0,0,0,1,1,7.39387829010776,7.37936476101297,7.23603074839917,7.37936476101297,7.23603074839917,7.39405399071437,0,0,0,2021-03-20,12,2021-04-01,7.39253526077083,7.3925897038631,7.39361871701614,7.39383155660374,7.39399720098997,7.39414756355678,7.39475596482194,7.39569020798308,7.39569020798308,ma,7.3374101369263e-05,0.413769960403442,5.60082411766052,0.895955801010132
0,0,0,0,1,7.37936476101297,7.35170823102793,7.21418900648412,7.35170823102793,7.21418900648412,7.3797212672556,0,0,0,2021-03-19,13,2021-04-01,7.37815429167413,7.37839603002584,7.37902305851393,7.37927315946117,7.37936476101297,7.37954732293585,7.37976632731908,7.38005536124446,7.3800689377389,ma,0.000123487762525,0.195329189300537,5.60082411766052,0.895955801010132
