"time_value","geo_value","estimate","lower","upper","onset_date","n.reported","issue_date","elapsed_time","value_target","target_date","wis"
2020-04-02,"ma",0,0,0,2020-04-02,1034,2021-04-01,50.4929999999995,0,2020-04-16,0
2020-04-03,"ma",0,0,0,2020-04-03,1111,2021-04-01,50.4929999999995,0,2020-04-17,0
2020-04-04,"ma",0,0,0,2020-04-04,1183,2021-04-01,50.4929999999995,0,2020-04-18,0
2020-04-05,"ma",0,0,0,2020-04-05,1248,2021-04-01,50.4929999999995,0,2020-04-19,0
2020-04-06,"ma",0,0,0,2020-04-06,1347,2021-04-01,50.4929999999995,0,2020-04-20,0
2020-04-07,"ma",0,0,0,2020-04-07,1455,2021-04-01,50.4929999999995,0,2020-04-21,0
2020-04-08,"ma",0,0,0,2020-04-08,1530,2021-04-01,50.4929999999995,0,2020-04-22,0
2020-04-09,"ma",0,0,0,2020-04-09,1631,2021-04-01,50.4929999999995,0,2020-04-23,0
2020-04-10,"ma",0,0,0,2020-04-10,1713,2021-04-01,50.4929999999995,0,2020-04-24,0
2020-04-11,"ma",0,0,0,2020-04-11,1737,2021-04-01,50.4929999999995,0,2020-04-25,0
2020-04-12,"ma",0,0,0,2020-04-12,1730,2021-04-01,50.4929999999995,0,2020-04-26,0
2020-04-13,"ma",0,0,0,2020-04-13,1738,2021-04-01,50.4929999999995,0,2020-04-27,0
2020-04-14,"ma",0,0,0,2020-04-14,1867,2021-04-01,50.4929999999995,0,2020-04-28,0
2020-04-15,"ma",0,0,0,2020-04-15,1964,2021-04-01,50.4929999999995,0,2020-04-29,0
2020-04-16,"ma",0,0,0,2020-04-16,2022,2021-04-01,50.4929999999995,0,2020-04-30,0
2020-04-17,"ma",0,0,0,2020-04-17,2155,2021-04-01,50.4929999999995,0,2020-05-01,0
2020-04-18,"ma",0,0,0,2020-04-18,2177,2021-04-01,50.4929999999995,0,2020-05-02,0
2020-04-19,"ma",0,0,0,2020-04-19,2200,2021-04-01,50.4929999999995,0,2020-05-03,0
2020-04-20,"ma",0,0,0,2020-04-20,2299,2021-04-01,50.4929999999995,0,2020-05-04,0
2020-04-21,"ma",0,0,0,2020-04-21,2194,2021-04-01,50.4929999999995,0,2020-05-05,0
2020-04-22,"ma",0,0,0,2020-04-22,2217,2021-04-01,50.4929999999995,0,2020-05-06,0
2020-04-23,"ma",0,0,0,2020-04-23,2220,2021-04-01,50.4929999999995,0,2020-05-07,0
2020-04-24,"ma",0,0,0,2020-04-24,2117,2021-04-01,50.4929999999995,0,2020-05-08,0
2020-04-25,"ma",0,0,0,2020-04-25,2119,2021-04-01,50.4929999999995,0,2020-05-09,0
2020-04-26,"ma",0,0,0,2020-04-26,2084,2021-04-01,50.4929999999995,0,2020-05-10,0
2020-04-27,"ma",0,0,0,2020-04-27,2005,2021-04-01,50.4929999999995,0,2020-05-11,0
2020-04-28,"ma",0,0,0,2020-04-28,1993,2021-04-01,50.4929999999995,0,2020-05-12,0
2020-04-29,"ma",0,0,0,2020-04-29,1919,2021-04-01,50.4929999999995,0,2020-05-13,0
2020-04-30,"ma",0,0,0,2020-04-30,1868,2021-04-01,50.4929999999995,0,2020-05-14,0
2020-05-01,"ma",0,0,0,2020-05-01,1840,2021-04-01,50.4929999999995,0,2020-05-15,0
2020-05-02,"ma",0,0,0,2020-05-02,1774,2021-04-01,50.4929999999995,0,2020-05-16,0
2020-05-03,"ma",0,0,0,2020-05-03,1758,2021-04-01,50.4929999999995,0,2020-05-17,0
2020-05-04,"ma",0,0,0,2020-05-04,1722,2021-04-01,50.4929999999995,0,2020-05-18,0
2020-05-05,"ma",0,0,0,2020-05-05,1669,2021-04-01,50.4929999999995,0,2020-05-19,0
2020-05-06,"ma",0,0,0,2020-05-06,1600,2021-04-01,50.4929999999995,0,2020-05-20,0
2020-05-07,"ma",0,0,0,2020-05-07,1547,2021-04-01,50.4929999999995,0,2020-05-21,0
2020-05-08,"ma",0,0,0,2020-05-08,1457,2021-04-01,50.4929999999995,0,2020-05-22,0
2020-05-09,"ma",0,0,0,2020-05-09,1408,2021-04-01,50.4929999999995,0,2020-05-23,0
2020-05-10,"ma",0,0,0,2020-05-10,1358,2021-04-01,50.4929999999995,0,2020-05-24,0
2020-05-11,"ma",0,0,0,2020-05-11,1276,2021-04-01,50.4929999999995,0,2020-05-25,0
2020-05-12,"ma",0,0,0,2020-05-12,1236,2021-04-01,50.4929999999995,0,2020-05-26,0
2020-05-13,"ma",0,0,0,2020-05-13,1180,2021-04-01,50.4929999999995,0,2020-05-27,0
